county,gc_cpri_score
BALDWIN,0.0
BARBOUR,77.5268722809361
BULLOCK,95.32019168315593
BUTLER,55.475392532982994
CHOCTAW,63.87109387236849
CLARKE,61.94500675125513
CONECUH,67.0193708116161
CRENSHAW,51.47081489446407
DALLAS,91.0534375387042
ESCAMBIA,51.2726090097375
GREENE,97.1800419360804
HALE,65.72263365301801
LOWNDES,84.5778077153057
MACON,83.07928262147158
MARENGO,59.42885690372039
MOBILE,35.995641871215895
MONROE,57.60043511095668
MONTGOMERY,42.77079980027181
PERRY,100.0
PIKE,50.76292983505613
RUSSELL,52.359215272362
SUMTER,85.15706659439367
WASHINGTON,33.74482182087973
WILCOX,85.31490512896502
TOTAL (ALL OF ALABAMA),54.94818110062069
