County,Total Ballots Cast,Age 18 - 29,Age 30 -39,Age 40 - 49,Age 50 - 59,Age 60 - 69,Age 70 - 79,Age 80 - 89,Age 90 -99,Age 100+
Barbour,122501,11800,13847,17274,20669,25839,22880,8940,1218,34
Bullock,4105,437,496,539,646,913,743,280,50,1
Butler,8112,801,906,1161,1394,1722,1459,559,107,3
Choctaw,6645,751,679,789,1170,1453,1202,525,76,0
Crenshaw,6493,728,839,888,1151,1364,1050,400,70,3
Dallas,15720,1567,1785,2136,2575,3697,2775,997,179,9
Greene,4045,378,407,536,672,928,814,261,47,2
Hale,7339,787,919,1069,1200,1697,1175,416,76,0
Lowndes,5705,535,637,773,988,1351,985,373,62,1
Macon,7904,923,865,888,1294,1740,1525,556,109,4
Marengo,9708,1004,1136,1331,1738,2063,1690,629,113,4
Montgomery,90098,10893,11907,13861,15496,17734,13980,5209,983,35
Perry,4496,480,462,579,813,995,773,323,69,2
Pike,13262,1996,1735,1867,2278,2432,1963,847,142,2
Russell,20840,2239,2752,3157,3828,4483,3098,1102,178,3
Sumter,5335,458,593,634,924,1258,1040,346,79,3
Wilcox,5268,597,561,701,929,1128,958,331,57,6
Baldwin,122501,11800,13847,17274,20669,25839,22880,8940,1218,34
Clarke,11975,1363,1412,1679,2120,2514,1922,827,136,2
Conecuh,5552,544,578,695,983,1249,1025,414,60,4
Escambia,15005,1677,1815,2097,2600,3023,2520,1090,178,5
Mobile,176426,21722,23843,26625,29239,35037,27586,10608,1717,49
Monroe,9841,1140,1061,1285,1740,2116,1708,686,100,5
Washington,8463,1047,989,1125,1458,1794,1383,578,88,1
Total (All of Alabama),2269116,286524,303907,339593,388462,445929,348548,134334,21288,531
