County,Total Ballots,Total Asian,Total American Indian,Total Black,Total Federally Registered,Total Hispanic,Total Korean,Total Other,Total White,Total Not Identified
Baldwin,122501,667,390,6117,0,1361,0,740,112966,260
Barbour,9901,21,11,3773,0,50,0,27,5979,40
Bullock,4105,5,2,2966,0,18,0,11,1099,4
Butler,8112,29,10,2998,0,18,0,28,5019,10
Choctaw,6645,2,2,2435,0,8,0,6,4180,12
Clarke,11975,22,21,4749,0,20,0,26,7118,19
Conecuh,5552,17,12,2175,0,17,0,17,3302,12
Crenshaw,6493,10,23,1272,0,17,0,20,5139,12
Dallas,15720,28,8,10418,1,13,0,35,5191,26
Escambia,15005,22,301,3310,0,64,0,59,11237,12
Greene,4045,4,0,3175,0,12,0,7,835,12
Hale,7339,4,6,3803,0,17,0,26,3465,18
Lowndes,5705,8,2,3916,0,12,0,6,1751,10
Macon,7904,11,7,6097,1,26,0,49,1693,20
Marengo,9708,13,4,4482,0,43,0,10,5148,8
Mobile,176426,1527,547,56195,2,1381,0,1363,114945,466
Monroe,9841,27,50,3582,0,13,0,25,6134,10
Montgomery,90098,873,88,51925,0,715,1,774,35316,406
Perry,4496,2,2,3181,0,4,0,4,1301,2
Pike,13262,52,34,4211,0,59,0,68,8800,38
Russell,20840,83,29,9217,1,329,0,240,10869,72
Sumter,5335,4,9,3755,0,4,0,12,1547,4
Washington,8463,9,338,1675,0,12,0,21,6404,4
Wilcox,5268,5,5,3477,0,4,0,1,1773,3
Total (All of Alabama),2269116,14232,5472,511534,519,23430,9,16607,1690359,6954
